model_id,measurement_source,sample_bridgestan_median_s,sample_kernel_median_s,sample_kernel_over_bridgestan,sample_bridgestan_over_kernel,sample_valid_pairs,native_bridgestan_median_ns_per_eval,native_kernel_median_ns_per_eval,native_kernel_over_bridgestan,native_bridgestan_over_kernel,native_blocks_per_method
kidiq_with_mom_work-kidscore_interaction_c2,firstpass_original,0.087,0.018,0.206896551724,4.83333333334,3,9006.41,1272.46,0.141283818969,7.07795136978,3
kidiq_with_mom_work-kidscore_interaction_z,followup_new,0.073,0.018,0.246575342466,4.05555555555,3,9118.09,1602.89,0.175792298606,5.68853134028,3
kidiq_with_mom_work-kidscore_mom_work,firstpass_original,0.096,0.019,0.197916666667,5.05263157894,3,8873.81,1212.63,0.136652689206,7.31782159437,3
kilpisjarvi_mod-kilpisjarvi,firstpass_original,0.23,0.042,0.182608695652,5.4761904762,3,715.365,29.8894,0.0417820273567,23.9337357056,3
loss_curves-losscurve_sislob,phase02,0.043,0.027,0.627906976744,1.59259259259,3,2230.18,852.571,0.382287976755,2.61582906292,3
low_dim_gauss_mix-low_dim_gauss_mix,firstpass_original,0.834,0.176,0.21103117506,4.73863636364,3,86559,18983.5,0.219312838642,4.5596965786,3
lsat_data-lsat_model,firstpass_original,2.765,1.338,0.48390596745,2.06651718984,3,93352.9,42605.5,0.456391820715,2.19109974064,3
mesquite-logmesquite,firstpass_original,0.064,0.029,0.453125,2.20689655172,3,1878.72,521.701,0.277689597173,3.60114318354,3
mesquite-logmesquite_logva,firstpass_original,0.039,0.014,0.358974358974,2.78571428572,3,1105.69,165.217,0.149424341362,6.69235006081,3
mesquite-logmesquite_logvas,firstpass_original,0.086,0.035,0.406976744186,2.45714285714,3,1862.27,530.01,0.284604273279,3.51365068584,3
mesquite-logmesquite_logvash,firstpass_original,0.075,0.03,0.4,2.5,3,1635.02,459.08,0.280779440007,3.56151433301,3
mesquite-logmesquite_logvolume,firstpass_original,0.014,0.01,0.714285714286,1.4,3,591.103,36.4772,0.0617103956502,16.2047251434,3
mesquite-mesquite,followup_new,0.122,0.023,0.190082644628,5.26086956522,3,1899.95,204.269,0.107512829285,9.301215554,3
nes1972-nes,firstpass_original,3.171,0.222,0.0700094607379,14.2837837838,3,76256.9,3549.32,0.0465442471435,21.4849323251,3
nes1976-nes,firstpass_original,3.156,0.192,0.0608365019011,16.4375,3,66526.9,4343.3,0.0652863728807,15.3171321346,3
nes1980-nes,firstpass_original,1.754,0.088,0.0501710376283,19.9318181818,3,38790.7,1788.31,0.0461015140227,21.6912615822,3
nes1984-nes,firstpass_original,3.303,0.175,0.0529821374508,18.8742857143,3,69897.5,3740.54,0.0535146464466,18.6864730761,3
nes1988-nes,firstpass_original,2.932,0.196,0.0668485675307,14.9591836735,3,62888.5,5006.76,0.0796132838277,12.5607179094,3
nes1992-nes,firstpass_original,3.66,0.153,0.0418032786885,23.9215686275,3,76191.2,3128.47,0.0410607786726,24.3541411617,3
nes1996-nes,firstpass_original,2.958,0.165,0.0557809330629,17.9272727273,3,58660.1,3169.39,0.0540297408289,18.5083249458,3
nes2000-nes,firstpass_original,1.221,0.058,0.047502047502,21.051724138,3,26728.5,954.666,0.0357171558449,27.9977499984,3
nes_logit_data-nes_logit_model,followup_replacement,0.081,0.113,1.3950617284,0.716814159289,3,6654.24,9048.71,1.35984124408,0.735379960237,3
radon_all-radon_county_intercept,firstpass_original,18.301,1.206,0.0658980383586,15.1749585406,3,430895,36433.2,0.0845523851518,11.826987473,3
radon_all-radon_hierarchical_intercept_centered,firstpass_original,26.13,1.37,0.0524301569078,19.0729927007,3,581651,36811.3,0.0632876071734,15.8008817944,3
radon_all-radon_hierarchical_intercept_noncentered,firstpass_original,28.418,1.354,0.0476458582589,20.988183161,3,585982,37348.6,0.0637367700714,15.6895305313,3
radon_all-radon_partially_pooled_centered,firstpass_original,13.234,1.199,0.0905999697748,11.0375312761,3,299883,35853.5,0.119558294401,8.36412065771,3
radon_all-radon_partially_pooled_noncentered,firstpass_original,13.003,1.175,0.0903637622087,11.0663829787,3,302837,35987.1,0.11883323372,8.41515431917,3
radon_all-radon_pooled,firstpass_original,3.52,0.071,0.0201704545455,49.5774647886,3,361835,8825.45,0.0243908134923,40.9990425418,3
radon_all-radon_variable_intercept_centered,firstpass_original,18.218,1.129,0.061971676364,16.1364038973,3,430113,36085.9,0.0838986498897,11.9191429339,3
radon_all-radon_variable_intercept_noncentered,phase02,12.932,0.975,0.0753943705537,13.2635897436,3,440886,37264.8,0.0845225296335,11.8311650673,3
radon_all-radon_variable_intercept_slope_centered,firstpass_original,17.487,1.161,0.0663921770458,15.0620155039,3,479684,40499,0.0844284987617,11.8443418356,3
radon_all-radon_variable_intercept_slope_noncentered,firstpass_original,19.783,1.429,0.072233736036,13.843946816,3,484586,41037.3,0.0846852777422,11.8084279424,3
radon_all-radon_variable_slope_centered,firstpass_original,17.951,1.171,0.0652331346443,15.3296327925,3,468003,39633.8,0.0846870639718,11.8081788776,3
radon_all-radon_variable_slope_noncentered,firstpass_original,18.037,1.354,0.0750679159505,13.3212703102,3,484843,42085.5,0.0868023257013,11.5204286512,3
radon_mn-radon_county_intercept,firstpass_original,0.609,0.048,0.0788177339901,12.6875,3,34773.2,2659.07,0.0764689473503,13.077203684,3
radon_mn-radon_hierarchical_intercept_noncentered,firstpass_original,1.046,0.058,0.0554493307839,18.0344827586,3,46791,2811.59,0.0600882648373,16.6421846713,3
radon_mn-radon_partially_pooled_centered,firstpass_original,0.451,0.051,0.113082039911,8.84313725493,3,23731.2,2676.55,0.112786121224,8.86633913063,3
radon_mn-radon_partially_pooled_noncentered,firstpass_original,0.515,0.059,0.114563106796,8.72881355933,3,25644.2,2974.62,0.115995819718,8.62100032942,3
radon_mn-radon_pooled,firstpass_original,0.233,0.017,0.0729613733906,13.7058823529,3,28517.8,791.625,0.0277589786028,36.0243802306,3
radon_mn-radon_variable_intercept_centered,firstpass_original,0.669,0.054,0.0807174887892,12.3888888889,3,33996.6,2901.36,0.0853426519123,11.7174704277,3
radon_mn-radon_variable_intercept_noncentered,phase02,0.493,0.047,0.0953346855984,10.4893617021,3,31807.4,2450.93,0.0770553393236,12.9776860212,3
radon_mn-radon_variable_intercept_slope_noncentered,firstpass_original,1.394,0.113,0.0810616929699,12.3362831858,3,39111.2,3101.65,0.0793033709014,12.6098044589,3
radon_mn-radon_variable_slope_noncentered,firstpass_original,0.602,0.055,0.0913621262458,10.9454545455,3,36318.7,3096.5,0.0852591089439,11.7289520426,3
radon_mod-radon_county,firstpass_original,2.285,0.938,0.410503282276,2.43603411514,3,82689.2,40610.4,0.491120968639,2.03615822548,3
rats_data-rats_model,followup_replacement,0.141,0.022,0.146341463415,6.83333333332,3,5106.97,294.149,0.0575975578474,17.3618472271,3
rstan_downloads-prophet,phase02,101.901,90.227,0.88543782691,1.12938477396,3,69756,70862,1.01585526693,0.984392198922,3
sat-hier_2pl,phase02,16.176,11.235,0.694547477745,1.43978638184,3,428037,315272,0.736553148443,1.35767527722,3
sblrc-blr,firstpass_original,0.028,0.015,0.535714285714,1.86666666667,3,1183.9,413.614,0.349365655883,2.86233057875,3
sblri-blr,firstpass_original,0.027,0.013,0.481481481481,2.07692307693,3,1114.03,328.536,0.294907677531,3.39089171354,3
science_irt-grsm_latent_reg_irt,firstpass_original,52.251,7.308,0.139863351898,7.14983579637,3,1414560,221392,0.156509444633,6.38939076389,3
seeds_data-seeds_centered_model,firstpass_original,0.054,0.021,0.388888888889,2.57142857143,3,1908.11,246.746,0.129314347705,7.73309395088,3
seeds_data-seeds_model,firstpass_original,0.055,0.021,0.381818181818,2.61904761905,3,1575.74,206.861,0.131278637339,7.6173855874,3
seeds_data-seeds_stanified_model,firstpass_original,0.056,0.025,0.446428571429,2.24,3,1564.37,216.147,0.138168719676,7.23752816372,3
sesame_data-sesame_one_pred_a,firstpass_original,0.034,0.014,0.411764705882,2.42857142857,3,2449.14,159.786,0.0652416766702,15.3276256994,3
state_wide_presidential_votes-hierarchical_gp,phase02,6.381,41.556,6.51245886225,0.15355183367,3,41801.2,219028,5.23975388266,0.190848658619,3
three_men1-ldaK2,firstpass_original,19.287,1.106,0.0573443251931,17.438517179,3,470387,23316.6,0.0495689719316,20.1739104329,3
three_men2-ldaK2,phase02,14.601,0.765,0.0523936716663,19.0862745098,3,456139,23631.9,0.0518085495869,19.3018335385,3
timssAusTwn_irt-gpcm_latent_reg_irt,firstpass_plus_labelled_TIMSS_followup,76.51,4.918,0.0642791791923,15.5571370476,3,2381180,138874,0.0583215044642,17.146334087,3
